Energy	E1_1 M1_1	E1_1 M1_2	E1_1 M1_3	E1_2 M1_1	E1_2 M1_2	E1_2 M1_3	E1_3 M1_1	E1_3 M1_2	E1_3 M1_3	E1_4 M1_1	E1_4 M1_2	E1_4 M1_3	E1_5 M1_1	E1_5 M1_2	E1_5 M1_3	E1_6 M1_1	E1_6 M1_2	E1_6 M1_3	E1_7 M1_1	E1_7 M1_2	E1_7 M1_3	E1_8 M1_1	E1_8 M1_2	E1_8 M1_3	E1_9 M1_1	E1_9 M1_2	E1_9 M1_3
5500.0	8.25474e-09	3.84445e-09	5.22448e-09	2.985634e-08	2.544605e-08	2.682608e-08	1.0853530000000002e-08	6.443240000000001e-09	7.82327e-09	1.215112e-08	7.74083e-09	9.12086e-09	1.3748530000000002e-08	9.338240000000001e-09	1.071827e-08	1.2347840000000001e-08	7.93755e-09	9.31758e-09	8.90983e-09	4.49954e-09	5.879570000000001e-09	1.689354e-08	1.248325e-08	1.386328e-08	1.262059e-08	8.2103e-09	9.59033e-09
6000.0	9.9794e-09	4.52132e-09	6.14387e-09	3.433694e-08	2.8878860000000002e-08	3.050141e-08	1.361455e-08	8.15647e-09	9.779020000000001e-09	1.4802859999999999e-08	9.34478e-09	1.096733e-08	1.595906e-08	1.0500980000000001e-08	1.212353e-08	1.4802859999999999e-08	9.34478e-09	1.096733e-08	1.10107e-08	5.552620000000001e-09	7.17517e-09	2.105464e-08	1.559656e-08	1.721911e-08	1.547334e-08	1.0015260000000001e-08	1.163781e-08
6500.0	1.270065e-08	5.88154e-09	7.91222e-09	3.9521379999999996e-08	3.270227e-08	3.4732949999999995e-08	1.713345e-08	1.031434e-08	1.2345019999999999e-08	1.812833e-08	1.130922e-08	1.33399e-08	1.8755780000000002e-08	1.193667e-08	1.3967350000000001e-08	1.812833e-08	1.130922e-08	1.33399e-08	1.452959e-08	7.71048e-09	9.741159999999999e-09	2.618448e-08	1.936537e-08	2.139605e-08	1.909978e-08	1.228067e-08	1.431135e-08
7000.0	1.622832e-08	7.612630000000001e-09	1.0220020000000001e-08	4.5620800000000004e-08	3.700511e-08	3.9612500000000005e-08	2.16955e-08	1.3079810000000001e-08	1.56872e-08	2.2372e-08	1.375631e-08	1.63637e-08	2.2325100000000002e-08	1.3709409999999999e-08	1.63168e-08	2.2372e-08	1.375631e-08	1.63637e-08	2.11144e-08	1.2498709999999999e-08	1.51061e-08	3.25497e-08	2.3934009999999998e-08	2.6541399999999998e-08	2.36904e-08	1.507471e-08	1.76821e-08
7500.0	2.08308e-08	9.8179e-09	1.311573e-08	5.2911300000000006e-08	4.1898400000000004e-08	4.5196230000000004e-08	2.7720300000000002e-08	1.67074e-08	2.000523e-08	2.78677e-08	1.68548e-08	2.015263e-08	2.69154e-08	1.59025e-08	1.920033e-08	2.78677e-08	1.68548e-08	2.015263e-08	3.62293e-08	2.5216399999999997e-08	2.851423e-08	4.04982e-08	2.94853e-08	3.278313e-08	2.94464e-08	1.8433499999999998e-08	2.1731329999999997e-08
8000.0	2.683222e-08	1.262468e-08	1.6495459999999998e-08	6.17224e-08	4.751486e-08	5.138564e-08	3.5812e-08	2.160446e-08	2.547524e-08	3.5048699999999995e-08	2.084116e-08	2.4711939999999997e-08	3.28253e-08	1.8617759999999998e-08	2.248854e-08	3.5048699999999995e-08	2.084116e-08	2.4711939999999997e-08	5.98643e-08	4.565676e-08	4.952754e-08	5.04359e-08	3.622836e-08	4.009914e-08	3.68269e-08	2.261936e-08	2.649014e-08
8500.0	3.452e-08	1.6168e-08	1.998696e-08	7.23435e-08	5.39915e-08	5.781046e-08	4.6754900000000005e-08	2.84029e-08	3.2221860000000004e-08	4.4413e-08	2.6061e-08	2.987996e-08	4.0309200000000005e-08	2.19572e-08	2.577616e-08	4.4413e-08	2.6061e-08	2.987996e-08	8.979399999999999e-08	7.1442e-08	7.526095999999999e-08	6.27319e-08	4.43799e-08	4.819886e-08	4.59135e-08	2.7561500000000002e-08	3.138046e-08
9000.0	4.38418e-08	2.053032e-08	2.3141939999999997e-08	8.471780000000001e-08	6.140632e-08	6.401794e-08	6.1357e-08	3.804552e-08	4.0657139999999996e-08	5.6291600000000004e-08	3.298012e-08	3.559174e-08	4.94241e-08	2.611262e-08	2.872424e-08	5.6291600000000004e-08	3.298012e-08	3.559174e-08	9.1984e-08	6.867251999999999e-08	7.128414e-08	7.74208e-08	5.410932e-08	5.672094e-08	5.6838e-08	3.352652e-08	3.613814e-08
9500.0	5.381859999999999e-08	2.5621569999999998e-08	2.601247e-08	9.7852e-08	6.965497e-08	7.004587e-08	7.90308e-08	5.083377e-08	5.1224670000000004e-08	7.04872e-08	4.229017e-08	4.268107e-08	5.948989999999999e-08	3.129287e-08	3.168377e-08	7.04872e-08	4.229017e-08	4.268107e-08	7.954259999999999e-08	5.1345570000000004e-08	5.1736470000000005e-08	9.36894e-08	6.549237e-08	6.588327e-08	6.867439999999999e-08	4.0477370000000005e-08	4.0868270000000006e-08
10000.0	6.2277e-08	3.113097e-08	2.928967e-08	1.095425e-07	7.839647e-08	7.655517e-08	9.495380000000001e-08	6.380777e-08	6.196647e-08	8.644479999999999e-08	5.529877e-08	5.345747e-08	6.78415e-08	3.6695469999999996e-08	3.485417e-08	8.644479999999999e-08	5.529877e-08	5.345747e-08	8.690450000000001e-08	5.575847e-08	5.391717e-08	1.095169e-07	7.837087e-08	7.652957e-08	7.9341e-08	4.819497e-08	4.635367e-08
