 Parameters used:

First geneneration spectra extracted for
excitation energies between 10284.-   24. keV
corresponding to y-channels   171 -    0
 Number of spectra=  172
 Ax0 =    23.5 Ax1 =    60.0 Ay0 =    23.5 Ay1 =    60.0
 AxW0=     0.0 AxW1=     0.0 AyW0=     0.0 AyW1=     0.0
 Weighting: 0 Level density parameter a=
 Normalization= 2 Stat/Tot= 2 Areacorr.= 1
 Experimental lower gamma threshold:       50.0 keV (ch=   0)
 Upper threshold for statistical gammas:   50.0 keV (ch=   0)
 Average energy entry point in g.s. band:  300.(stat)     0.(tot)
 Sliding threshold given by Ex*R, with R = 0.30
 Multiplicities: MA = Af/Afg and ME = (Ex-ExEntry)/<Eg>

Iteration number:   1
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
164  9864.    34274.     5015.    29259. 1.99       0  1.15  1.17  1.99  1.17  1.93
163  9804.    29913.     3744.    26169. 2.13       0  1.15  1.14  2.13  1.14  2.07
162  9744.    26796.     3096.    23700. 2.10       0  1.15  1.13  2.10  1.13  2.04
161  9684.    27924.     3010.    24914. 2.07       0  1.15  1.12  2.07  1.12  2.01
160  9624.    31302.     3470.    27832. 2.10       0  1.15  1.12  2.10  1.12  2.03
159  9564.    20038.     2223.    17814. 1.77       0  1.15  1.12  1.77  1.12  1.72
158  9504.    21327.     2018.    19309. 1.88       0  1.15  1.10  1.88  1.10  1.82
157  9444.    19346.     1551.    17795. 1.98       0  1.15  1.09  1.98  1.09  1.92
156  9384.    15763.     1162.    14601. 1.99       0  1.15  1.08  1.99  1.08  1.93
155  9324.    15158.     1065.    14093. 2.14       0  1.15  1.08  2.14  1.08  2.07
154  9264.    15817.     1208.    14609. 1.95       0  1.15  1.08  1.95  1.08  1.89
153  9204.    20858.     1625.    19233. 1.77       0  1.15  1.08  1.77  1.08  1.71
152  9144.    28482.     1772.    26710. 1.69       0  1.15  1.07  1.69  1.07  1.63
151  9084.    39349.     2225.    37124. 1.68       0  1.15  1.06  1.68  1.06  1.63
150  9024.    45796.     2635.    43161. 1.77       0  1.15  1.06  1.77  1.06  1.71
149  8964.    42908.     2460.    40448. 1.85       0  1.15  1.06  1.85  1.06  1.79
148  8904.    34542.     1504.    33038. 1.92       0  1.15  1.05  1.92  1.05  1.85
147  8844.    26974.      791.    26182. 2.13       0  1.15  1.03  2.13  1.03  2.06
146  8784.    22134.      479.    21654. 2.13       0  1.15  1.02  2.13  1.02  2.06
145  8724.    23880.      464.    23415. 2.20       0  1.15  1.02  2.20  1.02  2.13
144  8664.    13255.      255.    13001. 1.64       0  1.15  1.02  1.64  1.02  1.58
